developer,event_type,scope,date,branch,tool,model,hours,sessions,interactions,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,generated_at
dev-39d71ab2,activity_daily,,2026-05-13,,Claude Code,Claude Sonnet 4.6,1.9833,1,655,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-15,,Antigravity,Indeterminado (pré-migração),0.6833,1,74,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-18,,Antigravity,Indeterminado (pré-migração),0.0,1,3,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-18,,Antigravity,Indeterminado (pré-migração),4.65,3,766,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-18,,Claude Code,Claude Sonnet 4.6,0.6833,2,246,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-19,,Antigravity,Indeterminado (pré-migração),0.2833,0,46,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-19,,Claude Code,Claude Sonnet 4.6,0.6667,0,415,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-20,,Antigravity,Indeterminado (pré-migração),0.8667,1,85,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-20,,Claude Code,Claude Sonnet 4.6,1.7667,2,401,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-11,main,Antigravity,Gemini 3.1 Pro (High),1.1833,,95,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-12,main,"Antigravity, Claude Code","Claude Opus 4.7, Claude Sonnet 4.6, Gemini 3.1 Pro (High)",6.9167,,568,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-13,1-2-makefile-scripts,"Antigravity, Claude Code","Claude Sonnet 4.6, Gemini 3.1 Pro (High)",0.4667,,146,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-13,main,Claude Code,"Claude Opus 4.7, Claude Sonnet 4.6",2.1833,,776,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-15,1-2-makefile-scripts,Antigravity,Gemini 3.1 Pro (High),0.6833,,74,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-18,1-2-makefile-scripts,Antigravity,"Claude Opus 4.6 (Thinking), Gemini 3 Flash",0.8167,,141,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-18,1-4-linter-yaml-pipeline-ci-readme,"Antigravity, Claude Code","Claude Sonnet 4.6, Gemini 3 Flash",1.6833,,409,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-18,main,Antigravity,Gemini 3 Flash,1.4333,,152,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-18,teste,Antigravity,Gemini 3 Flash,0.0833,,39,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-18,time-tracker,"Antigravity, Claude Code","Claude Sonnet 4.6, Gemini 3 Flash",1.3,,274,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-19,time-tracker,"Antigravity, Claude Code","Claude Sonnet 4.6, Gemini 3 Flash",0.95,,461,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_branch,,2026-05-20,time-tracker,"Antigravity, Claude Code","Claude Sonnet 4.6, Gemini 3 Flash",2.6333,,486,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,dev_summary,live,,,,,3.6943,10,947,16053,173457,471173,8211719,2026-05-25T16:49:59.821770-03:00
dev-39d71ab2,activity_daily,,2026-05-21,,Antigravity,Claude Sonnet 4.6 (Thinking),0.0078,1,19,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_daily,,2026-05-21,,Antigravity,Gemini 3.1 Pro (High),0.0656,1,2,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_daily,,2026-05-21,,Antigravity,Gemini 3.5 Flash (High),0.2394,1,55,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_daily,,2026-05-25,,Antigravity,Claude Sonnet 4.6 (Thinking),1.33,1,155,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_daily,,2026-05-25,,Antigravity,GPT OSS 120B (Medium),0.0522,1,23,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_daily,,2026-05-25,,Antigravity,Gemini 3.1 Pro (High),0.2828,2,15,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_daily,,2026-05-25,,Antigravity,Gemini 3.5 Flash (High),1.1189,1,427,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_daily,,2026-05-25,,Claude Code,Claude Sonnet 4.6,0.5976,2,251,16053,173457,471173,8211719,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_branch,,2026-05-21,bmad-custom,Antigravity,"Claude Sonnet 4.6 (Thinking), Gemini 3.5 Flash (High)",0.0772,,20,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_branch,,2026-05-21,main,Antigravity,Gemini 3.5 Flash (High),0.0042,,2,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_branch,,2026-05-21,time-tracker,Antigravity,"Gemini 3.1 Pro (High), Gemini 3.5 Flash (High)",0.2314,,54,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_branch,,2026-05-25,main,Antigravity,Gemini 3.5 Flash (High),0.0011,,2,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_branch,,2026-05-25,time-tracker,"Antigravity, Claude Code","Claude Sonnet 4.6, Claude Sonnet 4.6 (Thinking), GPT OSS 120B (Medium), Gemini 3.1 Pro (High), Gemini 3.5 Flash (High)",2.9292,,747,16053,173457,471173,8211719,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_branch,,2026-05-25,tracker-bkl-003,Antigravity,Gemini 3.5 Flash (High),0.4442,,103,0,0,0,0,2026-05-25T16:49:59.821124-03:00
dev-39d71ab2,activity_branch,,2026-05-25,tracker-bkl-003-export-json-csv,Antigravity,Gemini 3.5 Flash (High),0.0069,,19,0,0,0,0,2026-05-25T16:49:59.821124-03:00
